Bias (V)	ADC0-I (V) avg.	ADC0-I (V) [1]	ADC0-I (V) [2]	ADC0-I (V) [3]	ADC0-I (V) [4]	ADC0-I (V) [5]	
1.786550	0.030091	0.030213	0.030824	0.029298	0.030519	0.029603	
1.773210	0.029481	0.029603	0.030213	0.028687	0.029603	0.029298	
1.759880	0.028565	0.028993	0.029603	0.027772	0.028687	0.027772	
1.746550	0.027650	0.027772	0.028687	0.027161	0.028077	0.026551	
1.733220	0.026978	0.027161	0.027467	0.026551	0.027161	0.026551	
1.719880	0.026429	0.026246	0.027161	0.025941	0.026856	0.025941	
1.706550	0.025574	0.025635	0.026246	0.024720	0.025941	0.025330	
1.693220	0.025025	0.025025	0.025635	0.024415	0.025330	0.024720	
1.679880	0.024354	0.024415	0.025330	0.023804	0.024720	0.023499	
1.666550	0.023927	0.023499	0.025025	0.023804	0.023804	0.023499	
1.653220	0.023316	0.022889	0.024110	0.023194	0.023499	0.022889	
1.639880	0.022889	0.022889	0.023804	0.022279	0.022889	0.022584	
1.626550	0.022217	0.022584	0.022889	0.021363	0.022584	0.021668	
1.613220	0.021424	0.021363	0.022279	0.021058	0.021363	0.021058	
1.599880	0.020997	0.021058	0.021668	0.020753	0.021058	0.020447	
1.586550	0.020631	0.020447	0.021058	0.020753	0.020447	0.020447	
1.573220	0.020142	0.020447	0.020447	0.019837	0.020142	0.019837	
1.559890	0.019837	0.020142	0.019837	0.019532	0.019837	0.019837	
1.546550	0.019227	0.019532	0.019837	0.018616	0.019227	0.018922	
1.533220	0.018738	0.019227	0.019227	0.018311	0.018616	0.018311	
1.519890	0.018372	0.018311	0.018922	0.018311	0.018006	0.018311	
1.506550	0.018128	0.018006	0.018616	0.018006	0.018006	0.018006	
1.493220	0.017762	0.017701	0.018006	0.017701	0.017701	0.017701	
1.479890	0.017212	0.017701	0.017090	0.017396	0.017090	0.016785	
1.466550	0.016724	0.016785	0.017090	0.016785	0.016480	0.016480	
1.453220	0.016541	0.016480	0.016785	0.016480	0.016480	0.016480	
1.439890	0.016236	0.016175	0.016480	0.016175	0.016175	0.016175	
1.426550	0.015931	0.015870	0.015870	0.015870	0.015870	0.016175	
1.413220	0.015442	0.015564	0.015564	0.015259	0.014954	0.015870	
1.399890	0.015015	0.015259	0.015259	0.014954	0.014954	0.014649	
1.386550	0.014710	0.014649	0.015259	0.014954	0.014344	0.014344	
1.373220	0.014588	0.014344	0.015259	0.014649	0.014344	0.014344	
